Rk,Player,Nation,Pos,Squad,Age,Born,90s,Gls,Standard Sh,Standard SoT,Standard SoT%,Standard Sh/90,Standard SoT/90,Standard G/Sh,Standard G/SoT,Standard Dist,Standard FK,Performance PK,Performance PKatt,Expected xG,Expected npxG,Expected npxG/Sh,Expected G-xG,Expected np:G-xG,Matches
226,Diogo Jota,pt POR,"FW,MF",Wolves,22,1996,25.4,7,69,26,37.7,2.72,1.02,0.10,0.27,13.7,0,0,0,9.6,9.6,0.14,-2.6,-2.6,Matches
227,James Justin,eng ENG,DF,Leicester City,21,1998,11.2,0,7,0,0.0,0.62,0.00,0.00,,19.8,0,0,0,0.4,0.4,0.06,-0.4,-0.4,Matches
228,Christian Kabasele,be BEL,DF,Watford,28,1991,25.0,0,8,1,12.5,0.32,0.04,0.00,0.00,9.4,0,0,0,1.1,1.1,0.13,-1.1,-1.1,Matches
229,Harry Kane,eng ENG,FW,Tottenham,26,1993,28.7,18,78,34,43.6,2.71,1.18,0.21,0.47,19.1,7,2,2,10.5,9.0,0.12,+7.5,+7.0,Matches
230,N'Golo Kanté,fr FRA,MF,Chelsea,28,1991,19.2,3,18,6,33.3,0.94,0.31,0.17,0.50,19.8,0,0,0,1.6,1.6,0.09,+1.4,+1.4,Matches
231,Moise Kean,it ITA,FW,Everton,19,2000,9.5,2,30,13,43.3,3.17,1.37,0.07,0.15,15.6,0,0,0,4.1,4.1,0.14,-2.1,-2.1,Matches
232,Michael Keane,eng ENG,DF,Everton,26,1993,28.4,2,13,4,30.8,0.46,0.14,0.15,0.50,6.9,0,0,0,1.7,1.7,0.13,+0.3,+0.3,Matches
233,Naby Keïta,gn GUI,MF,Liverpool,24,1995,9.1,2,12,7,58.3,1.33,0.77,0.17,0.29,18.4,0,0,0,1.5,1.5,0.13,+0.5,+0.5,Matches
234,Lloyd Kelly,eng ENG,DF,Bournemouth,20,1998,7.1,0,1,0,0.0,0.14,0.00,0.00,,20.0,0,0,0,0.0,0.0,0.03,0.0,0.0,Matches
235,Martin Kelly,eng ENG,DF,Crystal Palace,29,1990,17.2,0,3,0,0.0,0.17,0.00,0.00,,19.8,0,0,0,0.1,0.1,0.03,-0.1,-0.1,Matches
236,Max Kilman,eng ENG,DF,Wolves,22,1997,2.1,0,0,0,,0.00,0.00,,,,0,0,0,0.0,0.0,,0.0,0.0,Matches
237,Joshua King,no NOR,"FW,MF",Bournemouth,27,1992,22.3,6,23,9,39.1,1.03,0.40,0.13,0.33,13.3,0,3,3,6.6,4.3,0.19,-0.6,-1.3,Matches
238,Timm Klose,ch SUI,DF,Norwich City,31,1988,6.5,0,3,0,0.0,0.46,0.00,0.00,,10.0,0,0,0,0.4,0.4,0.13,-0.4,-0.4,Matches
